# ----------------------------------------
# All Web Site Data
# Pages
# 20220422-20220428
# ----------------------------------------

Page,Page Views,Unique Page Views,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,"5,985","4,496",00:00:45,"4,097",22.80%,20.27%,US$0.00
/Console,"4,644","4,109",00:04:59,"3,654",81.23%,78.10%,US$0.00
/Main_Page,"2,713","1,680",00:00:44,607,30.97%,15.52%,US$0.00
/Console/ru,"1,990","1,649",00:05:58,"1,517",77.19%,73.22%,US$0.00
/Enemies,"1,837","1,519",00:03:18,924,66.45%,51.39%,US$0.00
/Main_Page/ru,"1,776",968,00:00:51,511,19.96%,12.27%,US$0.00
/Tutorial:Nuclear_power,"1,757","1,560",00:04:46,"1,158",70.98%,64.09%,US$0.00
/Fluid_system,"1,716","1,559",00:03:12,"1,023",79.86%,64.51%,US$0.00
/Tutorial:Circuit_network_cookbook,"1,550","1,354",00:04:21,808,71.04%,60.39%,US$0.00
/Science_pack,"1,532","1,267",00:02:04,904,61.06%,47.00%,US$0.00
/Power_production,"1,475","1,296",00:02:59,691,68.74%,50.51%,US$0.00
/Logistic_network,"1,454","1,257",00:02:30,731,61.15%,45.53%,US$0.00
/Balancer_mechanics,"1,446","1,307",00:04:14,"1,026",78.75%,71.30%,US$0.00
/Tutorial:Main_bus,"1,388","1,160",00:02:48,925,56.11%,51.73%,US$0.00
/Multiplayer,"1,351","1,184",00:04:59,"1,088",80.97%,77.20%,US$0.00
/Blueprint,"1,323","1,204",00:02:47,969,69.87%,63.87%,US$0.00
/Circuit_network,"1,299","1,143",00:02:48,610,59.51%,47.27%,US$0.00
/Tutorial:Train_signals,"1,250","1,120",00:05:23,859,72.18%,66.96%,US$0.00
/Oil_processing,"1,249","1,079",00:02:51,609,66.67%,51.16%,US$0.00
/Railway,"1,191","1,028",00:02:15,605,53.06%,41.90%,US$0.00
/Electric_furnace,"1,129",938,00:01:45,361,57.34%,36.32%,US$0.00
/Nuclear_reactor,"1,122",991,00:02:19,500,53.20%,39.48%,US$0.00
/Main_Page/zh,"1,101",628,00:00:47,453,39.51%,22.16%,US$0.00
/Spidertron,"1,029",854,00:02:11,338,53.25%,31.10%,US$0.00
/Pollution,"1,002",878,00:03:27,494,65.59%,50.20%,US$0.00
,"209,860","175,367",00:01:46,"75,916",59.96%,36.17%,US$0.00

Day Index,Page Views
22/04/2022,"29,622"
23/04/2022,"29,578"
24/04/2022,"34,702"
25/04/2022,"31,689"
26/04/2022,"29,106"
27/04/2022,"27,814"
28/04/2022,"27,349"
,"209,860"
